Source Node	Target Node	Interaction Type
Mpp3	Lin7a	Undirected
ZFYVE9	PPP1CA	Undirected
ZFYVE9	FAM46A	Undirected
ZFYVE9	NIT1	Undirected
ZFYVE9	NUP155	Undirected
ZFYVE9	ERBB2IP	Undirected
ZFYVE9	EIF4G1	Undirected
ZFYVE9	UBXD5	Undirected
ZFYVE9	RBBP6	Undirected
ZFYVE9	SUPT5H	Undirected
ZFYVE9	PPP1CB	Undirected
ZFYVE9	DAZAP2	Undirected
ZFYVE9	SPG20	Undirected
ZFYVE9	ZMYND8	Undirected
ZFYVE9	ANKLE2	Undirected
ZFYVE9	RNPEP	Undirected
ZFYVE9	SVEP1	Undirected
ZFYVE9	CTNNB1	Undirected
ZFYVE9	BAT3	Undirected
ZFYVE9	PPP2R1A	Undirected
ZFYVE9	PPP1CC	Undirected
ZFYVE9	SMAD2	Undirected
ZFYVE9	RNF11	Undirected
ZFYVE9	JUP	Undirected
ZFYVE9	BMP4	Undirected
ZFYVE9	SUMF2	Undirected
ZFYVE9	RHOT2	Undirected
DDX17	DDX5	Undirected
CREM	CREB3L3	Undirected
CREM	CREB3L1	Undirected
CREM	NFIL3	Undirected
CREM	CREM	Undirected
Cdh2	Cdh2	Undirected
TRBV3-1	HLA-DRA	Undirected
RUNX1	TLE1	Undirected
Magi2	Lphn1	Undirected
Sec61b	Arl6	Undirected
ACD	TINF2	Undirected
TRBV3-1	TRBV3-1	Undirected
TRBV19	TRBV19	Undirected
Epas1	APEX1	Undirected
ADH7	ADH7	Undirected
Tnfrsf4	TRAF3	Undirected
Tnfrsf4	TRAF1	Undirected
Sh3glb1	Amph	Undirected
Sh3glb1	Dnm1	Undirected
Sh3glb1	Bin1	Undirected
SMAD5	SOX7	Undirected
SMAD5	RBM4	Undirected
SMAD5	SMURF1	Undirected
SMAD5	RYR2	Undirected
SMAD5	SOX5	Undirected
SMAD5	PTPN12	Undirected
SMAD5	CXXC5	Undirected
SMAD5	SNRPA	Undirected
SMAD5	PSMD11	Undirected
SMAD5	BCAT1	Undirected
SMAD5	PNKP	Undirected
SMAD5	SNRP70	Undirected
SMAD5	MTMR10	Undirected
SMAD5	U2AF2	Undirected
SMAD5	SF3B1	Undirected
SMAD5	WWP1	Undirected
SMAD5	VPS24	Undirected
SMAD5	NEDD4	Undirected
SMAD5	SFPQ	Undirected
SMAD5	HBG2	Undirected
SMAD5	MBD1	Undirected
SMAD5	ANKRD13A	Undirected
ADAR	ADAR	Undirected
